a,meanlog_obs,sdlog_obs,meanlog_sim,sdlog_sim,loss,yr,yr_idx,a_hat
0.75,3.4223397163603773,0.713582638282408,3.4093836612263173,0.7084651354466278,2.2023703518523726e-4,2000,1,0.75
0.5,3.4223397163603773,0.713582638282408,3.38385528134539,0.7423092587723864,0.0031314891879732623,2000,1,0.75
1,3.4223397163603773,0.713582638282408,3.3108102476522165,0.7768761728216819,0.020450965419273114,2000,1,0.75
1.5,3.4223397163603773,0.713582638282408,3.1313278401058784,0.7797038725187753,0.09343194735504487,2000,1,0.75
0.25,3.4223397163603773,0.713582638282408,3.1320373602060156,0.8425498701199782,0.11754055176446498,2000,1,0.75
2,3.4223397163603773,0.713582638282408,3.074123353510956,0.8472384414232782,0.15698238278254206,2000,1,0.75
1.25,3.4223397163603773,0.713582638282408,3.0591660364700832,0.8546671322426241,0.1717047906370783,2000,1,0.75
0.25,3.505455159364054,0.543386537108495,3.492583063607495,0.5443359642472511,1.6749367294963447e-4,2001,2,0.25
0.75,3.505455159364054,0.543386537108495,3.4577208822377306,0.5705404500644327,0.0037532311904099128,2001,2,0.25
0.5,3.505455159364054,0.543386537108495,3.45060562157226,0.5841651596479804,0.006334263908409105,2001,2,0.25
1.5,3.505455159364054,0.543386537108495,3.342782669967026,0.6130568672030364,0.03617024859759088,2001,2,0.25
1.25,3.505455159364054,0.543386537108495,3.3234425497095343,0.6244430693718025,0.04626891291835372,2001,2,0.25
1,3.505455159364054,0.543386537108495,3.216835859731435,0.6504803168921952,0.10623925545714279,2001,2,0.25
2,3.505455159364054,0.543386537108495,2.958775602513035,0.6458124434730893,0.31984067046804354,2001,2,0.25
1,3.487672391952548,0.5761037768263841,3.3956094257702576,0.6166575734775895,0.011764810587936197,2002,3,1
0.25,3.487672391952548,0.5761037768263841,3.3774035391791855,0.6250896278286555,0.016958447088786986,2002,3,1
1.25,3.487672391952548,0.5761037768263841,3.2344101847733815,0.6523123368062069,0.07575723481365959,2002,3,1
0.5,3.487672391952548,0.5761037768263841,3.2222044884481145,0.7036651131735848,0.10301699685240659,2002,3,1
2,3.487672391952548,0.5761037768263841,3.096195686294844,0.7215536018882022,0.19556531429363572,2002,3,1
0.75,3.487672391952548,0.5761037768263841,3.028105842081725,0.7049640927353344,0.24441137579248082,2002,3,1
1.5,3.487672391952548,0.5761037768263841,2.831996927084042,0.8101155190460269,0.5394333062238764,2002,3,1
0.5,3.414521676177248,0.6077050743953656,3.3545541318517462,0.6665878040992418,0.010530458087190523,2003,4,0.5
1,3.414521676177248,0.6077050743953656,3.3199228428233045,0.6479519778785314,0.012188565751893723,2003,4,0.5
