"season","elpd_loo_simple","elpd_loo_cluster","elpd_diff","se_diff","waic_s","waic_c","waic_diff","waic_se_diff"
2000,-1153.5040375298,-1118.01764477256,35.4863927572362,12.1336588255491,2302.15892346417,2235.59608044009,66.5628430240845,24.1747919083193
2001,-1157.63117622359,-1128.84871476928,28.7824614543149,12.5267295569829,2311.35293089642,2257.27425894632,54.078671950097,24.9616476617441
2002,-1176.38860458629,-1148.64209034816,27.7465142381393,12.2917453369458,2348.23131914893,2296.80916541863,51.4221537303051,24.4157791299202
2003,-1078.70093434456,-1044.24615170525,34.4547826393116,12.8405325521765,2148.85251676951,2088.08654066059,60.7659761089144,25.3378279807485
2004,-1079.44737223476,-1054.96183500876,24.4855372260017,11.3678142869297,2154.72295285276,2109.8446934593,44.878259393457,22.6499404266973
2005,-1080.49131334496,-1063.38861431718,17.1026990277878,12.8859976428921,2156.53301184718,2126.16073577131,30.3722760758687,25.6337271534169
2006,-1034.35080817085,-1011.5296055544,22.8212026164517,13.2360320923139,2056.52501717242,2022.00865758023,34.5163595921906,26.1249219415283
2007,-1073.75809694783,-1048.02210106586,25.7359958819743,13.575438246631,2142.72387735262,2095.81944580686,46.9044315457518,27.0173219844204
2008,-960.181370432221,-938.392994683929,21.7883757482914,12.9093518239955,1913.77614305196,1875.98363688325,37.7925061687124,25.6286228614626
2009,-958.452598999536,-934.250632252562,24.2019667469735,13.7190898868477,1909.36096719949,1867.98895882588,41.372008373613,27.2309392569446
2010,-988.604786684736,-974.189381951551,14.415404733185,12.8229459619428,1969.62694797865,1947.58977068053,22.0371772981191,25.3494911728926
2011,-1011.37372315817,-996.279105215775,15.0946179423948,13.906946513248,2015.61561770838,1991.83711625018,23.7785014581953,27.5153688235328
2012,-942.076525178979,-929.65052701565,12.4259981633297,14.6221325236639,1875.46209892799,1858.49265069193,16.9694482360587,28.8429347080747
2013,-942.55992089633,-928.788404043247,13.7715168530827,13.225718543992,1877.9034779227,1857.1118991368,20.7915787859022,26.2596396577891
2014,-942.838523171298,-920.591251837242,22.2472713340563,13.2825608317231,1878.73311804761,1840.4475972926,38.2855207550112,26.4236015294235
2015,-1001.89194332462,-987.918421107133,13.9735222174896,14.395193527371,1998.30223252385,1974.42782288176,23.8744096420885,28.6458945648729
2016,-968.058820757595,-944.56757401351,23.4912467440853,13.4929164469311,1928.68829388461,1887.93162596287,40.7566679217384,26.7693690881698
2017,-991.080781862413,-979.9096521894,11.1711296730134,12.8279516894279,1977.63465366461,1958.75434709397,18.8803065706422,25.5157803429182
2018,-1036.21375149052,-1013.69526873301,22.5184827575108,12.0521527435897,2067.28853083617,2027.00396233673,40.2845684994327,23.9489111404886
2019,-1035.69372495717,-1007.30270104353,28.3910239136358,11.4487456413598,2065.52969065861,2014.20642417815,51.3232664804561,22.7179097521841
2020,-628.074835309746,-599.59299176744,28.4818435423056,9.80653696771994,1244.28069809551,1198.28959915827,45.9910989372406,19.2250035278242
2021,-955.905449954167,-937.338258306313,18.5671916478542,11.9830910259879,1908.44925309825,1874.07312665325,34.3761264450011,23.9177468118947
2022,-1060.01241722292,-1041.42626117996,18.5861560429598,12.8464696417195,2111.92455966103,2081.91516265101,30.0093970100197,25.3897599910604
2023,-943.031413326496,-905.221732843573,37.8096804829224,12.1864703943786,1875.56035417026,1809.44706203195,66.1132921383137,23.8855080004926
2024,-1024.4982660558,-1005.20482569415,19.2934403616471,12.9038579654461,2043.48978709469,2010.11733223453,33.3724548601595,25.650663163241
2025,-974.975015910768,-942.422718409927,32.5522975008414,11.8270432422582,1944.04490348044,1883.98337283989,60.0615306405473,23.5168802772929
