"run","seed","model","design","K_true","T_iter","T_burn","item","cluster"
1,123,"truth","design1",3,10000,2000,1,1
1,123,"truth","design1",3,10000,2000,2,1
1,123,"truth","design1",3,10000,2000,3,2
1,123,"truth","design1",3,10000,2000,4,1
1,123,"truth","design1",3,10000,2000,5,1
1,123,"truth","design1",3,10000,2000,6,2
1,123,"truth","design1",3,10000,2000,7,1
1,123,"truth","design1",3,10000,2000,8,1
1,123,"truth","design1",3,10000,2000,9,1
1,123,"truth","design1",3,10000,2000,10,1
1,123,"truth","design1",3,10000,2000,11,2
1,123,"truth","design1",3,10000,2000,12,1
1,123,"truth","design1",3,10000,2000,13,2
1,123,"truth","design1",3,10000,2000,14,2
1,123,"truth","design1",3,10000,2000,15,2
1,123,"truth","design1",3,10000,2000,16,2
1,123,"truth","design1",3,10000,2000,17,2
1,123,"truth","design1",3,10000,2000,18,2
1,123,"truth","design1",3,10000,2000,19,2
1,123,"truth","design1",3,10000,2000,20,2
1,123,"truth","design1",3,10000,2000,21,2
1,123,"truth","design1",3,10000,2000,22,2
1,123,"truth","design1",3,10000,2000,23,2
1,123,"truth","design1",3,10000,2000,24,2
1,123,"truth","design1",3,10000,2000,25,2
1,123,"truth","design1",3,10000,2000,26,2
1,123,"truth","design1",3,10000,2000,27,2
1,123,"truth","design1",3,10000,2000,28,2
1,123,"truth","design1",3,10000,2000,29,2
1,123,"truth","design1",3,10000,2000,30,2
1,123,"truth","design1",3,10000,2000,31,2
1,123,"truth","design1",3,10000,2000,32,2
1,123,"truth","design1",3,10000,2000,33,2
1,123,"truth","design1",3,10000,2000,34,2
1,123,"truth","design1",3,10000,2000,35,2
1,123,"truth","design1",3,10000,2000,36,3
1,123,"truth","design1",3,10000,2000,37,2
1,123,"truth","design1",3,10000,2000,38,3
1,123,"truth","design1",3,10000,2000,39,2
1,123,"truth","design1",3,10000,2000,40,2
1,123,"truth","design1",3,10000,2000,41,2
1,123,"truth","design1",3,10000,2000,42,2
1,123,"truth","design1",3,10000,2000,43,2
1,123,"truth","design1",3,10000,2000,44,2
1,123,"truth","design1",3,10000,2000,45,2
1,123,"truth","design1",3,10000,2000,46,3
1,123,"truth","design1",3,10000,2000,47,2
1,123,"truth","design1",3,10000,2000,48,2
1,123,"truth","design1",3,10000,2000,49,2
1,123,"truth","design1",3,10000,2000,50,3
1,123,"truth","design1",3,10000,2000,51,3
1,123,"truth","design1",3,10000,2000,52,3
1,123,"truth","design1",3,10000,2000,53,2
1,123,"truth","design1",3,10000,2000,54,2
1,123,"truth","design1",3,10000,2000,55,3
1,123,"truth","design1",3,10000,2000,56,3
1,123,"truth","design1",3,10000,2000,57,2
1,123,"truth","design1",3,10000,2000,58,3
1,123,"truth","design1",3,10000,2000,59,3
1,123,"truth","design1",3,10000,2000,60,3
1,123,"truth","design1",3,10000,2000,61,2
1,123,"truth","design1",3,10000,2000,62,3
1,123,"truth","design1",3,10000,2000,63,3
1,123,"truth","design1",3,10000,2000,64,2
1,123,"truth","design1",3,10000,2000,65,3
1,123,"truth","design1",3,10000,2000,66,3
1,123,"truth","design1",3,10000,2000,67,3
1,123,"truth","design1",3,10000,2000,68,3
1,123,"truth","design1",3,10000,2000,69,3
1,123,"truth","design1",3,10000,2000,70,3
1,123,"truth","design1",3,10000,2000,71,3
1,123,"truth","design1",3,10000,2000,72,3
1,123,"truth","design1",3,10000,2000,73,2
1,123,"truth","design1",3,10000,2000,74,3
1,123,"truth","design1",3,10000,2000,75,3
1,123,"truth","design1",3,10000,2000,76,3
1,123,"truth","design1",3,10000,2000,77,3
1,123,"truth","design1",3,10000,2000,78,3
1,123,"truth","design1",3,10000,2000,79,3
1,123,"truth","design1",3,10000,2000,80,3
1,123,"truth","design1",3,10000,2000,81,3
1,123,"truth","design1",3,10000,2000,82,3
1,123,"truth","design1",3,10000,2000,83,3
1,123,"truth","design1",3,10000,2000,84,3
1,123,"truth","design1",3,10000,2000,85,3
1,123,"truth","design1",3,10000,2000,86,3
1,123,"truth","design1",3,10000,2000,87,3
1,123,"truth","design1",3,10000,2000,88,3
1,123,"truth","design1",3,10000,2000,89,3
1,123,"truth","design1",3,10000,2000,90,3
1,123,"truth","design1",3,10000,2000,91,3
1,123,"truth","design1",3,10000,2000,92,3
1,123,"truth","design1",3,10000,2000,93,3
1,123,"truth","design1",3,10000,2000,94,3
1,123,"truth","design1",3,10000,2000,95,3
1,123,"truth","design1",3,10000,2000,96,3
1,123,"truth","design1",3,10000,2000,97,3
1,123,"truth","design1",3,10000,2000,98,3
1,123,"truth","design1",3,10000,2000,99,3
1,123,"truth","design1",3,10000,2000,100,3
1,123,"truth","design1",3,10000,2000,101,3
1,123,"truth","design1",3,10000,2000,102,3
1,123,"truth","design1",3,10000,2000,103,3
1,123,"truth","design1",3,10000,2000,104,3
1,123,"truth","design1",3,10000,2000,105,3
1,123,"RCBTL","design1",3,10000,2000,1,1
1,123,"RCBTL","design1",3,10000,2000,2,1
1,123,"RCBTL","design1",3,10000,2000,3,2
1,123,"RCBTL","design1",3,10000,2000,4,1
1,123,"RCBTL","design1",3,10000,2000,5,1
1,123,"RCBTL","design1",3,10000,2000,6,2
1,123,"RCBTL","design1",3,10000,2000,7,1
1,123,"RCBTL","design1",3,10000,2000,8,1
1,123,"RCBTL","design1",3,10000,2000,9,1
1,123,"RCBTL","design1",3,10000,2000,10,1
1,123,"RCBTL","design1",3,10000,2000,11,2
1,123,"RCBTL","design1",3,10000,2000,12,1
1,123,"RCBTL","design1",3,10000,2000,13,2
1,123,"RCBTL","design1",3,10000,2000,14,2
1,123,"RCBTL","design1",3,10000,2000,15,2
1,123,"RCBTL","design1",3,10000,2000,16,2
1,123,"RCBTL","design1",3,10000,2000,17,2
1,123,"RCBTL","design1",3,10000,2000,18,2
1,123,"RCBTL","design1",3,10000,2000,19,2
1,123,"RCBTL","design1",3,10000,2000,20,2
1,123,"RCBTL","design1",3,10000,2000,21,2
1,123,"RCBTL","design1",3,10000,2000,22,2
1,123,"RCBTL","design1",3,10000,2000,23,2
1,123,"RCBTL","design1",3,10000,2000,24,2
1,123,"RCBTL","design1",3,10000,2000,25,2
1,123,"RCBTL","design1",3,10000,2000,26,2
1,123,"RCBTL","design1",3,10000,2000,27,2
1,123,"RCBTL","design1",3,10000,2000,28,2
1,123,"RCBTL","design1",3,10000,2000,29,2
1,123,"RCBTL","design1",3,10000,2000,30,2
1,123,"RCBTL","design1",3,10000,2000,31,2
1,123,"RCBTL","design1",3,10000,2000,32,2
1,123,"RCBTL","design1",3,10000,2000,33,2
1,123,"RCBTL","design1",3,10000,2000,34,2
1,123,"RCBTL","design1",3,10000,2000,35,2
1,123,"RCBTL","design1",3,10000,2000,36,3
1,123,"RCBTL","design1",3,10000,2000,37,2
1,123,"RCBTL","design1",3,10000,2000,38,3
1,123,"RCBTL","design1",3,10000,2000,39,2
1,123,"RCBTL","design1",3,10000,2000,40,2
1,123,"RCBTL","design1",3,10000,2000,41,2
1,123,"RCBTL","design1",3,10000,2000,42,2
1,123,"RCBTL","design1",3,10000,2000,43,2
1,123,"RCBTL","design1",3,10000,2000,44,2
1,123,"RCBTL","design1",3,10000,2000,45,2
1,123,"RCBTL","design1",3,10000,2000,46,3
1,123,"RCBTL","design1",3,10000,2000,47,2
1,123,"RCBTL","design1",3,10000,2000,48,2
1,123,"RCBTL","design1",3,10000,2000,49,2
1,123,"RCBTL","design1",3,10000,2000,50,3
1,123,"RCBTL","design1",3,10000,2000,51,3
1,123,"RCBTL","design1",3,10000,2000,52,3
1,123,"RCBTL","design1",3,10000,2000,53,2
1,123,"RCBTL","design1",3,10000,2000,54,4
1,123,"RCBTL","design1",3,10000,2000,55,3
1,123,"RCBTL","design1",3,10000,2000,56,3
1,123,"RCBTL","design1",3,10000,2000,57,2
1,123,"RCBTL","design1",3,10000,2000,58,3
1,123,"RCBTL","design1",3,10000,2000,59,3
1,123,"RCBTL","design1",3,10000,2000,60,3
1,123,"RCBTL","design1",3,10000,2000,61,2
1,123,"RCBTL","design1",3,10000,2000,62,3
1,123,"RCBTL","design1",3,10000,2000,63,3
1,123,"RCBTL","design1",3,10000,2000,64,2
1,123,"RCBTL","design1",3,10000,2000,65,3
1,123,"RCBTL","design1",3,10000,2000,66,3
1,123,"RCBTL","design1",3,10000,2000,67,3
1,123,"RCBTL","design1",3,10000,2000,68,3
1,123,"RCBTL","design1",3,10000,2000,69,3
1,123,"RCBTL","design1",3,10000,2000,70,3
1,123,"RCBTL","design1",3,10000,2000,71,5
1,123,"RCBTL","design1",3,10000,2000,72,3
1,123,"RCBTL","design1",3,10000,2000,73,2
