a,K,count,prob
1,5,3,7.5e-4
1,6,5,0.00125
1,7,9,0.00225
1,8,41,0.01025
1,9,55,0.01375
1,10,65,0.01625
1,11,93,0.02325
1,12,75,0.01875
1,13,96,0.024
1,14,114,0.0285
1,15,127,0.03175
1,16,143,0.03575
1,17,123,0.03075
1,18,139,0.03475
1,19,169,0.04225
1,20,156,0.039
1,21,153,0.03825
1,22,173,0.04325
1,23,154,0.0385
1,24,178,0.0445
1,25,145,0.03625
1,26,153,0.03825
1,27,156,0.039
1,28,166,0.0415
1,29,135,0.03375
1,30,142,0.0355
1,31,113,0.02825
1,32,119,0.02975
1,33,97,0.02425
1,34,87,0.02175
1,35,94,0.0235
1,36,86,0.0215
1,37,66,0.0165
1,38,51,0.01275
1,39,47,0.01175
1,40,37,0.00925
1,41,45,0.01125
1,42,35,0.00875
1,43,24,0.006
1,44,25,0.00625
1,45,21,0.00525
1,46,18,0.0045
1,47,9,0.00225
1,48,11,0.00275
1,49,10,0.0025
1,50,6,0.0015
1,51,12,0.003
1,52,3,7.5e-4
1,53,5,0.00125
1,54,3,7.5e-4
1,55,1,2.5e-4
1,57,3,7.5e-4
1,58,2,5e-4
1,60,1,2.5e-4
1,62,1,2.5e-4
2,5,1975,0.49375
2,6,1352,0.338
2,7,486,0.1215
2,8,154,0.0385
2,9,27,0.00675
2,10,5,0.00125
2,11,1,2.5e-4
3,5,3259,0.81475
3,6,672,0.168
3,7,65,0.01625
3,8,4,0.001
4,5,3736,0.934
4,6,253,0.06325
4,7,11,0.00275
