design,K_true,model,n,elapsed_mean_s,elapsed_median_s,elapsed_p90_s,elapsed_mean_min
design1,3,BT,1,22.583,22.583,22.583,0.3763833333333333
design1,3,BT-SBM,1,23.7770000000019,23.7770000000019,23.7770000000019,0.396283333333365
design1,3,RCBTL,1,40003.452,40003.452,40003.452,666.7242
design1,5,BT,1,22.25699999999999,22.25699999999999,22.25699999999999,0.37094999999999984
design1,5,BT-SBM,1,24.1389999999956,24.1389999999956,24.1389999999956,0.4023166666665933
design1,7,BT,1,21.789999999999992,21.789999999999992,21.789999999999992,0.3631666666666665
design1,7,BT-SBM,1,24.0829999999987,24.0829999999987,24.0829999999987,0.4013833333333117
design2,3,BT,1,22.595,22.595,22.595,0.3765833333333333
design2,3,BT-SBM,1,23.5290000000023,23.5290000000023,23.5290000000023,0.3921500000000383
design2,5,BT,1,22.346000000000004,22.346000000000004,22.346000000000004,0.3724333333333334
design2,5,BT-SBM,1,23.9590000000026,23.9590000000026,23.9590000000026,0.39931666666671
design2,7,BT,1,22.443000000000012,22.443000000000012,22.443000000000012,0.3740500000000002
design2,7,BT-SBM,1,24.1619999999966,24.1619999999966,24.1619999999966,0.4026999999999433
design3,3,BT,1,22.367999999999995,22.367999999999995,22.367999999999995,0.3727999999999999
design3,3,BT-SBM,1,23.6579999999958,23.6579999999958,23.6579999999958,0.39429999999993
design3,5,BT,1,22.305999999999997,22.305999999999997,22.305999999999997,0.37176666666666663
design3,5,BT-SBM,1,23.885000000002,23.885000000002,23.885000000002,0.3980833333333667
design3,7,BT,1,22.09700000000001,22.09700000000001,22.09700000000001,0.36828333333333346
design3,7,BT-SBM,1,24.0650000000023,24.0650000000023,24.0650000000023,0.40108333333337165
