design,rep,n_players,K_true,gamma_true,p_adj,seed,model,time_user,time_sys,time_elapsed,fit_error,rmse,mae,spearman,kendall,pearson,K_median,K_mode,pr_K_true,HPD_low,HPD_high,ari_minVI,vi_minVI,ari_binder,vi_binder
design1,1,105,3,0.71,0.85,103133,BT,21.718999999999998,0.21699999999999997,22.583000000000002,NA,2.5710182835630078,1.1637474508742849,0.8694138848354414,0.7424027164191039,0.9495649239326585,NA,NA,NA,NA,NA,NA,NA,NA,NA
design1,1,105,3,0.71,0.85,103133,RCBTL,39925.816,10.241,40003.452,NA,1.05767441151083,0.392740989940937,0.841435537915399,0.718423907972382,0.947120901934713,18,18,0,14,20,0.177679022937052,2.73593352113975,0.0893359836646136,3.4954471883691
design1,1,105,3,0.71,0.85,103133,BT-SBM,23.7359999999971,0,23.7770000000019,NA,0.47621113526115,0.254221204705671,0.847639655161566,0.722655462404156,0.989991232032873,3,3,0.635125,3,5,0.83452968880474,0.440445971927532,0.829819543141009,0.509506386002453
design2,1,105,3,0.71,0.85,103143,BT,22.052,0.21000000000000002,22.595,NA,0.981599208895645,0.5809279032007619,0.8458286371071929,0.7000784885353142,0.9773622870986445,NA,NA,NA,NA,NA,NA,NA,NA,NA
design2,1,105,3,0.71,0.85,103143,RCBTL,NA,NA,NA,SKIPPED_RCBTL_NOT_SELECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
design2,1,105,3,0.71,0.85,103143,BT-SBM,23.4910000000018,0,23.5290000000023,NA,0.552215573712411,0.180372488092963,0.845828637107193,0.700078488535314,0.991887534966086,3,3,0.761625,3,5,1,0,1,0
design3,1,105,3,0.71,0.85,103153,BT,22.133999999999993,0.17600000000000005,22.367999999999995,NA,2.2402919905671284,0.9698042300899348,0.8270644413675123,0.7032115619251309,0.9237808664716659,NA,NA,NA,NA,NA,NA,NA,NA,NA
design3,1,105,3,0.71,0.85,103153,RCBTL,NA,NA,NA,SKIPPED_RCBTL_NOT_SELECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
design3,1,105,3,0.71,0.85,103153,BT-SBM,23.6129999999976,0.00200000000000066,23.6579999999958,NA,1.11534726339196,0.529103120411968,0.827064441367512,0.703211561925131,0.991354362015092,3,3,0.76425,3,5,0.870244765555883,0.427690738217968,0.869848156182213,0.446520253617998
design1,1,105,5,0.71,0.85,105133,BT,21.964,0.16499999999999992,22.25699999999999,NA,99.05298931461192,34.79422835950849,0.9169455198463484,0.8186460708840583,0.8920356969129015,NA,NA,NA,NA,NA,NA,NA,NA,NA
