"","season","elpd_loo_simple","elpd_loo_cluster","elpd_diff","se_diff","waic_s","waic_c","waic_diff","waic_se_diff"
"1",2000,-1153.5040375298,-1118.01764477256,35.4863927572385,12.1336588255491,2302.15892346417,2235.59608044009,66.562843024084,24.1747919083193
"2",2001,-1157.63117622359,-1128.84871476928,28.7824614543138,12.5267295569829,2311.35293089642,2257.27425894632,54.0786719500966,24.9616476617441
"3",2002,-1176.3886045863,-1148.64209034816,27.7465142381382,12.2917453369458,2348.23131914893,2296.80916541863,51.4221537303056,24.4157791299202
"4",2003,-1078.70093434456,-1044.24615170525,34.4547826393116,12.8405325521765,2148.85251676951,2088.08654066059,60.7659761089149,25.3378279807485
"5",2004,-1079.44737223476,-1054.96183500876,24.4855372260004,11.3678142869297,2154.72295285276,2109.8446934593,44.8782593934575,22.6499404266973
"6",2005,-1080.49131334496,-1063.38861431718,17.1026990277878,12.8859976428922,2156.53301184718,2126.16073577131,30.3722760758687,25.6337271534169
"7",2006,-1034.35080817085,-1011.5296055544,22.821202616452,13.236032092314,2056.52501717242,2022.00865758023,34.5163595921906,26.1249219415282
"8",2007,-1073.75809694783,-1048.02210106586,25.7359958819711,13.575438246631,2142.72387735262,2095.81944580686,46.9044315457518,27.0173219844204
"9",2008,-960.18137043222,-938.392994683929,21.7883757482912,12.9093518239955,1913.77614305196,1875.98363688325,37.7925061687124,25.6286228614626
"10",2009,-958.452598999537,-934.250632252561,24.2019667469757,13.7190898868477,1909.36096719949,1867.98895882588,41.3720083736127,27.2309392569446
"11",2010,-988.604786684738,-974.189381951551,14.4154047331868,12.8229459619428,1969.62694797865,1947.58977068053,22.0371772981184,25.3494911728927
"12",2011,-1011.37372315817,-996.279105215773,15.0946179423952,13.906946513248,2015.61561770838,1991.83711625018,23.7785014581953,27.5153688235328
"13",2012,-942.076525178979,-929.65052701565,12.4259981633295,14.6221325236639,1875.46209892799,1858.49265069193,16.9694482360596,28.8429347080747
"14",2013,-942.559920896329,-928.788404043246,13.7715168530831,13.225718543992,1877.9034779227,1857.1118991368,20.7915787859019,26.2596396577891
"15",2014,-942.838523171298,-920.59125183724,22.2472713340582,13.282560831723,1878.73311804761,1840.4475972926,38.2855207550112,26.4236015294235
"16",2015,-1001.89194332462,-987.918421107134,13.973522217488,14.395193527371,1998.30223252385,1974.42782288176,23.874409642089,28.6458945648729
"17",2016,-968.058820757595,-944.567574013509,23.4912467440859,13.4929164469311,1928.68829388461,1887.93162596287,40.7566679217387,26.7693690881698
"18",2017,-991.080781862413,-979.9096521894,11.1711296730131,12.8279516894279,1977.63465366461,1958.75434709397,18.8803065706418,25.5157803429182
"19",2018,-1036.21375149052,-1013.69526873301,22.5184827575087,12.0521527435897,2067.28853083617,2027.00396233673,40.2845684994336,23.9489111404886
"20",2019,-1035.69372495717,-1007.30270104353,28.3910239136355,11.4487456413598,2065.52969065861,2014.20642417815,51.3232664804564,22.7179097521841
"21",2020,-628.074835309745,-599.592991767441,28.481843542304,9.8065369677199,1244.28069809551,1198.28959915827,45.9910989372404,19.2250035278242
"22",2021,-955.905449954166,-937.338258306312,18.5671916478543,11.9830910259879,1908.44925309825,1874.07312665325,34.3761264450013,23.9177468118947
"23",2022,-1060.01241722292,-1041.42626117996,18.5861560429605,12.8464696417195,2111.92455966103,2081.91516265101,30.0093970100197,25.3897599910604
